"spkid","full_name","pdes","name","neo","pha","H","G","diameter","extent","albedo","rot_per","BV","UB","IR","spec_B","spec_T","class","moid"
20000001,"     1 Ceres (A801 AA)",1,Ceres,N,N,3.34,0.12,939.4,"964.4 x 964.2 x 891.8",0.090,9.074170,0.713,0.426,,C,G,MBA,1.58
20000010,"    10 Hygiea (A849 GA)",10,Hygiea,N,N,5.65,,407.12,,0.0717,13.828,0.696,0.351,,C,C,MBA,1.79
20000013,"    13 Egeria (A850 VA)",13,Egeria,N,N,6.91,,202.636,,0.049,7.045,0.745,0.452,,Ch,G,MBA,1.44
20000019,"    19 Fortuna (A852 QA)",19,Fortuna,N,N,7.49,0.10,200,,0.037,7.4432,0.719,0.324,,Ch,G,MBA,1.06
20000024,"    24 Themis (A853 GA)",24,Themis,N,N,7.24,0.19,198,,0.067,8.374,0.684,0.336,,B,C,MBA,1.79
20000031,"    31 Euphrosyne (A854 RA)",31,Euphrosyne,N,N,6.85,,267.080,,0.053,5.53,0.687,0.317,,Cb,C,MBA,1.59
20000034,"    34 Circe (A855 GA)",34,Circe,N,N,8.77,,132.992,,0.023,12.15,0.707,0.357,,Ch,C,MBA,1.41
20000035,"    35 Leukothea (A855 HA)",35,Leukothea,N,N,8.69,,103.055,,0.066,31.9,0.703,0.335,,C,C,MBA,1.35
20000036,"    36 Atalante (A855 TA)",36,Atalante,N,N,8.59,,132.842,,0.029,9.93,0.713,0.363,,,C,MBA,0.954
20000038,"    38 Leda (A856 AA)",38,Leda,N,N,8.49,,92.255,,0.055,12.838,0.726,0.419,,Cgh,C,MBA,1.35
20000041,"    41 Daphne (A856 KA)",41,Daphne,N,N,7.59,0.10,205.495,,0.059,5.988,0.726,0.363,,Ch,C,MBA,1.05
20000045,"    45 Eugenia (A857 MA)",45,Eugenia,N,N,7.77,0.07,202.327,,0.045,5.699,0.676,0.274,,C,FC,MBA,1.49
20000046,"    46 Hestia (A857 QA)",46,Hestia,N,N,8.54,0.06,131.471,,0.046,21.04,0.692,0.226,,Xc,P,MBA,1.09
20000047,"    47 Aglaja (A857 RA)",47,Aglaja,N,N,8.18,0.16,168.174,,0.082,13.178,0.665,0.300,,B,C,MBA,1.49
20000048,"    48 Doris (A857 SA)",48,Doris,N,N,7.13,,216.473,,0.065,11.89,0.716,0.442,,Ch,CG,MBA,1.93
20000049,"    49 Pales (A857 SB)",49,Pales,N,N,8.02,,166.252,,0.048,20.705,0.749,0.411,,Ch,CG,MBA,1.42
20000050,"    50 Virginia (A857 TA)",50,Virginia,N,N,9.47,,84.074,,0.050,14.315,0.703,0.347,,Ch,X,MBA,0.897
20000051,"    51 Nemausa (A858 BA)",51,Nemausa,N,N,7.74,0.08,138.159,,0.100,7.783,0.789,0.482,,Ch,CU,MBA,1.21
20000052,"    52 Europa (A858 CA)",52,Europa,N,N,6.66,0.18,303.918,,0.057,5.6304,0.679,0.338,,C,CF,MBA,1.76
20000053,"    53 Kalypso (A858 GA)",53,Kalypso,N,N,8.92,,97.262,,0.028,9.036,0.705,0.318,,,XC,MBA,1.11
20000054,"    54 Alexandra (A858 RA)",54,Alexandra,N,N,7.96,,160.120,,0.059,7.024,0.727,0.357,,C,C,MBA,1.17
20000056,"    56 Melete (A857 RB)",56,Melete,N,N,8.54,,121.333,,0.057,18.147,0.697,0.312,,Xk,P,MBA,0.985
20000058,"    58 Concordia (A860 FA)",58,Concordia,N,N,9.04,,106.517,,0.044,9.895,0.690,0.370,,Ch,C,MBA,1.58
20000059,"    59 Elpis (A860 RA)",59,Elpis,N,N,8.12,,165.119,,0.044,13.671,0.662,0.285,,B,CP,MBA,1.4
20000062,"    62 Erato (A860 RD)",62,Erato,N,N,8.93,,106.921,,0.048,9.2213,0.708,0.378,,Ch,BU,MBA,1.61
20000065,"    65 Cybele (A861 EB)",65,Cybele,N,N,6.84,0.01,237.26,,0.0706,6.0814,0.690,0.271,,Xc,P,OMB,1.96
20000066,"    66 Maja (A861 GA)",66,Maja,N,N,9.51,,71.82,,0.016,9.73509,0.697,0.360,,Ch,C,MBA,1.2
20000070,"    70 Panopaea (A861 JA)",70,Panopaea,N,N,8.19,0.14,127.911,,0.038,15.8052,0.740,0.390,,Ch,C,MBA,1.16
20000072,"    72 Feronia (A861 KA)",72,Feronia,N,N,9.08,,74.966,,0.083,8.097,0.785,0.375,,,TDG,MBA,0.985
20000074,"    74 Galatea (A862 QA)",74,Galatea,N,N,8.93,,118.71,,0.0431,17.268,0.686,0.320,,C,C,MBA,1.12
20000076,"    76 Freia (A862 UA)",76,Freia,N,N,8.02,,145.423,,0.058,9.973,0.704,0.298,,X,P,OMB,1.86
20000078,"    78 Diana (A863 EA)",78,Diana,N,N,8.34,0.08,120.60,,0.0706,7.2991,0.713,0.380,,Ch,C,MBA,1.11
20000081,"    81 Terpsichore (A864 SA)",81,Terpsichore,N,N,8.71,,117.727,,0.045,10.943,0.701,0.346,,Cb,C,MBA,1.27
20000083,"    83 Beatrix (A865 HA)",83,Beatrix,N,N,8.75,,110.503,,0.050,10.111,0.704,0.266,,X,X,MBA,1.23
20000084,"    84 Klio (A865 QA)",84,Klio,N,N,9.34,,79.16,,0.0527,23.562,0.733,0.445,,Ch,G,MBA,0.799
20000085,"    85 Io (A865 SA)",85,Io,N,N,7.95,,154.79,,0.0666,6.875,0.668,0.294,,B,FC,MBA,1.16
20000086,"    86 Semele (A866 AA)",86,Semele,N,N,8.71,,109.929,,0.056,16.634,0.703,0.321,,,C,MBA,1.44
20000087,"    87 Sylvia (A866 KA)",87,Sylvia,N,N,6.94,,253.051,,0.046,5.184,0.710,0.251,,X,P,OMB,2.17
20000088,"    88 Thisbe (A866 LA)",88,Thisbe,N,N,7.28,0.14,232,,0.0671,6.042,0.681,0.305,,B,CF,MBA,1.3
20000090,"    90 Antiope (A866 TA)",90,Antiope,N,N,8.44,,115.974,,0.058,16.509,0.688,0.317,,C,C,MBA,1.59
20000091,"    91 Aegina (A866 VA)",91,Aegina,N,N,9.13,,103.402,,0.048,6.025,0.724,0.317,,Ch,CP,MBA,1.33
20000093,"    93 Minerva (A867 QA)",93,Minerva,N,N,7.90,,154.155,,0.056,5.982,0.685,0.315,,C,CU,MBA,1.36
20000094,"    94 Aurora (A867 RA)",94,Aurora,N,N,7.72,,204.89,,0.0395,7.22,0.663,0.301,,C,CP,MBA,1.87
20000095,"    95 Arethusa (A867 WA)",95,Arethusa,N,N,8.00,,147.969,,0.058,8.705,0.711,0.374,,Ch,C,MBA,1.61
20000096,"    96 Aegle (A868 DA)",96,Aegle,N,N,7.68,,177.774,,0.048,13.868,0.775,0.337,,T,T,MBA,1.63
20000098,"    98 Ianthe (A868 HA)",98,Ianthe,N,N,8.96,,132.788,,0.029,16.479,0.749,0.375,,Ch,CG,MBA,1.2
20000099,"    99 Dike (A868 KA)",99,Dike,N,N,9.48,,67.354,,0.065,18.127,0.703,0.322,,Xk,C,MBA,1.13
20000102,"   102 Miriam (A868 QA)",102,Miriam,N,N,9.47,,82.595,,0.051,23.613,0.726,0.371,,C,P,MBA,0.993
20000104,"   104 Klymene (A868 RB)",104,Klymene,N,N,8.54,,136.553,,0.052,8.984,0.688,0.340,,Ch,C,MBA,1.65
20000105,"   105 Artemis (A868 SA)",105,Artemis,N,N,8.75,0.10,94.864,,0.032,37.15,0.693,0.317,,Ch,C,MBA,1.01
20000106,"   106 Dione (A868 TA)",106,Dione,N,N,7.80,,207.869,,0.044,16.21,0.743,0.464,,Cgh,G,MBA,1.68
20000107,"   107 Camilla (A868 WA)",107,Camilla,N,N,7.11,0.08,210.370,,0.059,4.844,0.705,0.298,,X,C,OMB,2.29
20000109,"   109 Felicitas (A869 TA)",109,Felicitas,N,N,8.99,0.04,82.588,,0.036,13.191,0.696,0.408,,Ch,GC,MBA,0.909
20000111,"   111 Ate (A870 PA)",111,Ate,N,N,8.23,,126.344,,0.062,22.072,0.690,0.389,,Ch,C,MBA,1.34
20000112,"   112 Iphigenia (A870 SA)",112,Iphigenia,N,N,9.79,,69.818,,0.042,31.466,0.696,0.284,,Ch,DCX,MBA,1.11
20000114,"   114 Kassandra (A871 OA)",114,Kassandra,N,N,8.47,,94.178,,0.089,10.7431,0.768,0.269,,Xk,T,MBA,1.31
20000117,"   117 Lomia (A871 RB)",117,Lomia,N,N,8.18,,208.974,,0.027,9.127,0.687,0.306,,X,XC,MBA,1.94
20000120,"   120 Lachesis (A872 GB)",120,Lachesis,N,N,7.81,,155.132,,0.058,46.551,0.707,0.383,,C,C,MBA,1.97
20000121,"   121 Hermione (A872 JA)",121,Hermione,N,N,7.43,,209.00,,0.0482,5.55128,0.739,0.425,,Ch,C,OMB,2.03
20000127,"   127 Johanna (A872 VB)",127,Johanna,N,N,8.56,,122,,0.042,12.7988,,,,Ch,CX,MBA,1.61
20000128,"   128 Nemesis (A872 WA)",128,Nemesis,N,N,7.69,,162.515,,0.067,38.9325,0.685,0.392,,C,C,MBA,1.41
20000130,"   130 Elektra (A873 DA)",130,Elektra,N,N,7.47,,180.652,,0.086,5.225,0.753,0.483,,Ch,G,MBA,1.54
20000134,"   134 Sophrosyne (A873 SA)",134,Sophrosyne,N,N,8.97,0.28,108,,0.0364,17.196,0.690,0.322,,Ch,C,MBA,1.32
20000137,"   137 Meliboea (A874 HA)",137,Meliboea,N,N,8.35,,128.678,,0.065,25.676,0.689,0.326,,,C,MBA,1.49
20000139,"   139 Juewa (A874 TA)",139,Juewa,N,N,8.05,,151.116,,0.052,20.991,0.693,0.287,,X,CP,MBA,1.32
20000140,"   140 Siwa (A874 TB)",140,Siwa,N,N,8.48,,109.79,,0.0676,34.445,0.721,0.299,,Xc,P,MBA,1.12
20000141,"   141 Lumen (A875 AA)",141,Lumen,N,N,8.39,,117.916,,0.067,19.87,,,,Ch,CPF,MBA,1.12
20000143,"   143 Adria (A875 DA)",143,Adria,N,N,9.34,,95.377,,0.044,22.005,0.738,0.336,,Xc,C,MBA,1.58
20000144,"   144 Vibilia (A875 LA)",144,Vibilia,N,N,8.10,0.17,142.38,,0.0597,13.819,0.727,0.402,,Ch,C,MBA,1.03
20000145,"   145 Adeona (A875 LB)",145,Adeona,N,N,8.43,,127.783,,0.061,15.071,0.701,0.352,,Ch,C,MBA,1.31
20000146,"   146 Lucina (A875 LC)",146,Lucina,N,N,8.51,0.11,160.310,,0.036,18.557,0.703,0.405,,Ch,C,MBA,1.54
20000147,"   147 Protogeneia (A875 NA)",147,Protogeneia,N,N,8.76,,132.93,,0.0492,7.8528,0.678,0.293,,C,C,MBA,2.06
20000150,"   150 Nuwa (A875 UA)",150,Nuwa,N,N,8.58,,119.128,,0.052,8.1347,0.706,0.275,,Cb,CX,MBA,1.61
20000153,"   153 Hilda (A875 VC)",153,Hilda,N,N,7.75,,170.63,,0.0618,5.9585,0.669,0.243,,X,P,OMB,2.41
20000154,"   154 Bertha (A875 VD)",154,Bertha,N,N,7.67,,192.611,,0.044,25.224,,,,C,,MBA,1.94
20000156,"   156 Xanthippe (A875 WA)",156,Xanthippe,N,N,8.82,,143.346,,0.030,22.132,0.713,0.315,,Ch,C,MBA,1.12
20000159,"   159 Aemilia (A876 BA)",159,Aemilia,N,N,8.30,,125.236,,0.064,24.476,0.700,0.380,,Ch,C,MBA,1.82
20000160,"   160 Una (A876 DA)",160,Una,N,N,9.09,,81.24,,0.0625,11.033,0.718,0.363,,C,CX,MBA,1.56
20000162,"   162 Laurentia (A876 HB)",162,Laurentia,N,N,9.12,,97.021,,0.051,11.8686,0.747,0.374,,Ch,STU,MBA,1.48
20000163,"   163 Erigone (A876 HC)",163,Erigone,N,N,9.79,-0.04,81.579,,0.033,16.136,0.717,0.341,,Ch,C,MBA,0.934
20000164,"   164 Eva (A876 NA)",164,Eva,N,N,8.80,,100.254,,0.029,13.66,0.684,0.326,,X,CX,MBA,0.88
20000165,"   165 Loreley (A876 PA)",165,Loreley,N,N,7.82,,180.083,,0.047,7.226,0.722,0.291,,Cb,CD,MBA,1.85
20000166,"   166 Rhodope (A876 PB)",166,Rhodope,N,N,9.87,,52.393,,0.046,4.715,0.725,0.425,,Xe,GC:,MBA,1.17
20000168,"   168 Sibylla (A876 SA)",168,Sibylla,N,N,8.29,,145.366,,0.056,47.009,0.745,0.384,,Ch,C,OMB,2.12
20000171,"   171 Ophelia (A877 AB)",171,Ophelia,N,N,8.64,,130.808,,0.076,6.66535,0.695,0.341,,C,C,MBA,1.72
20000173,"   173 Ino (A877 PA)",173,Ino,N,N,7.97,0.01,125.821,,0.096,6.15,0.705,0.305,,Xk,C,MBA,1.19
20000175,"   175 Andromache (A877 TA)",175,Andromache,N,N,8.64,,94.532,,0.094,8.324,0.706,0.332,,Cg,C,MBA,1.44
20000176,"   176 Iduna (A877 TB)",176,Iduna,N,N,8.45,,106.976,,0.065,11.2877,,,,Ch,G,MBA,1.64
20000177,"   177 Irma (A877 VA)",177,Irma,N,N,9.63,,69.049,,0.022,13.856,0.730,0.350,,Ch,C:,MBA,1.13
20000185,"   185 Eunike (A878 EA)",185,Eunike,N,N,7.64,,160.464,,0.062,21.797,0.668,0.331,,C,C,MBA,1.42
20000187,"   187 Lamberta (A878 GB)",187,Lamberta,N,N,8.39,,147.294,,0.044,10.67,0.709,0.348,,Ch,C,MBA,1.07
20000190,"   190 Ismene (A878 SA)",190,Ismene,N,N,7.91,,159,,0.066,6.521,0.683,0.269,,X,P,OMB,2.35
20000191,"   191 Kolga (A878 SB)",191,Kolga,N,N,9.11,,94.536,,0.046,17.604,0.675,0.258,,Cb,XC:,MBA,1.66
20000194,"   194 Prokne (A879 FA)",194,Prokne,N,N,7.85,,161.667,,0.057,15.679,0.724,0.341,,C,C,MBA,0.99
20000195,"   195 Eurykleia (A879 HA)",195,Eurykleia,N,N,9.26,,93.109,,0.051,16.521,0.704,0.387,,Ch,C,MBA,1.79
20000200,"   200 Dynamene (A879 OA)",200,Dynamene,N,N,8.46,,128.301,,0.053,37.394,0.727,0.375,,Ch,C,MBA,1.39
20000201,"   201 Penelope (A879 PA)",201,Penelope,N,N,8.57,0.24,85.877,,0.040,3.7474,0.720,0.233,,X,M,MBA,1.19
20000203,"   203 Pompeja (A879 SA)",203,Pompeja,N,N,8.94,,124.592,,0.036,24.052,0.702,0.293,,,DCX:,MBA,1.58
20000205,"   205 Martha (A879 TB)",205,Martha,N,N,9.46,,76.983,,0.061,14.911,0.688,0.350,,Ch,C,MBA,1.68
20000206,"   206 Hersilia (A879 TC)",206,Hersilia,N,N,8.94,,113,,0.057,11.122,0.690,0.345,,C,C,MBA,1.65
20000209,"   209 Dido (A879 UC)",209,Dido,N,N,8.31,,179.008,,0.028,5.7366,0.691,0.294,,Xc,C,MBA,1.97
20000210,"   210 Isabella (A879 VA)",210,Isabella,N,N,9.38,,86.65,,0.0436,6.672,0.667,0.248,,Cb,CF,MBA,1.39
20000211,"   211 Isolda (A879 XA)",211,Isolda,N,N,7.99,0.12,141.125,,0.062,18.365,0.711,0.364,,Ch,C,MBA,1.59
20000212,"   212 Medea (A880 CA)",212,Medea,N,N,8.50,,136.12,,0.0465,10.283,0.704,0.286,,,DCX:,MBA,1.81
20000213,"   213 Lilaea (A880 DA)",213,Lilaea,N,N,9.11,,82.096,,0.092,12.042,0.650,0.221,,B,F,MBA,1.34
20000217,"   217 Eudora (A880 QA)",217,Eudora,N,N,9.92,,65.392,,0.049,25.272,,,,,X,MBA,0.972
20000223,"   223 Rosa (A882 EA)",223,Rosa,N,N,9.85,,79.806,,0.020,20.283,0.706,0.285,,,X,MBA,1.74
20000225,"   225 Henrietta (A882 HA)",225,Henrietta,N,N,8.82,,95.934,,0.062,7.3556,0.648,0.282,,,F,OMB,1.59
20000227,"   227 Philosophia (A882 PA)",227,Philosophia,N,N,9.15,,123.891,,0.065,26.468,,,,,,MBA,1.53
20000229,"   229 Adelinda (A882 QB)",229,Adelinda,N,N,9.35,,105.912,,0.035,6.6,0.708,0.253,,,BCU,OMB,1.95
20000231,"   231 Vindobona (A882 RB)",231,Vindobona,N,N,9.72,,73.545,,0.068,14.245,,,,,,MBA,1.45
20000233,"   233 Asterope (A883 JA)",233,Asterope,N,N,8.45,,99.672,,0.094,19.694,0.775,0.321,,K,T,MBA,1.39
20000238,"   238 Hypatia (A884 NA)",238,Hypatia,N,N,8.06,,155.659,,0.039,8.8749,0.739,0.383,,Ch,C,MBA,1.65
20000240,"   240 Vanadis (A884 QB)",240,Vanadis,N,N,9.17,,87.928,,0.031,10.565,0.705,0.368,,C,C,MBA,1.12
20000241,"   241 Germania (A884 RA)",241,Germania,N,N,7.78,,168.90,,0.0575,15.51,0.689,0.289,,B,CP,MBA,1.72
20000247,"   247 Eukrate (A885 EB)",247,Eukrate,N,N,8.19,,130.935,,0.064,12.093,0.691,0.295,,Xc,CP,MBA,1.15
20000252,"   252 Clementina (A885 TB)",252,Clementina,N,N,9.96,,65.344,,0.047,10.864,,,,,,MBA,1.95
20000256,"   256 Walpurga (A886 GA)",256,Walpurga,N,N,9.93,,66.634,,0.050,16.664,,,,,,MBA,1.83
20000257,"   257 Silesia (A886 GB)",257,Silesia,N,N,9.72,,72.66,,0.0545,15.7095,0.761,0.384,,Ch,SCTU,MBA,1.78
20000259,"   259 Aletheia (A886 MA)",259,Aletheia,N,N,7.83,,174.318,,0.043,8.143,0.698,0.311,,X,CP,MBA,1.71
20000260,"   260 Huberta (A886 TA)",260,Huberta,N,N,9.31,,101.539,,0.044,8.29,0.714,0.306,,,CX:,OMB,2.08
20000266,"   266 Aline (A887 KA)",266,Aline,N,N,8.72,,109.494,,0.027,13.018,0.707,0.336,,Ch,C,MBA,1.39
20000268,"   268 Adorea (A887 LA)",268,Adorea,N,N,8.63,,144.585,,0.041,7.8,0.663,0.285,,,FC,MBA,1.67
20000269,"   269 Justitia (A887 SA)",269,Justitia,N,N,9.72,,50.728,,0.061,33.128,,,,Ld,,MBA,1.04
20000271,"   271 Penthesilea (A887 TB)",271,Penthesilea,N,N,9.88,,65.901,,0.045,18.787,0.724,0.348,,,PC,MBA,1.7
20000275,"   275 Sapientia (A888 GB)",275,Sapientia,N,N,9.04,,103,,0.049,14.933,0.723,0.324,,C,X,MBA,1.33
20000276,"   276 Adelheid (A888 HA)",276,Adelheid,N,N,8.60,,114.723,,0.051,6.315,0.708,0.271,,,X,MBA,2.03
20000279,"   279 Thule (A888 UA)",279,Thule,N,N,8.60,,126.59,,0.0412,23.896,0.746,0.232,,X,D,OMB,3.1
20000283,"   283 Emma (A889 CA)",283,Emma,N,N,8.80,,132.385,,0.023,6.896,0.712,0.297,,,X,MBA,1.62
20000286,"   286 Iclea (A889 PB)",286,Iclea,N,N,9.05,,94.30,,0.0508,15.365,0.690,0.328,,Ch,CX,MBA,2.12
20000300,"   300 Geraldina (A890 TB)",300,Geraldina,N,N,9.77,,67.373,,0.052,6.8423,,,,,,OMB,2.01
20000303,"   303 Josephina (A891 CA)",303,Josephina,N,N,9.10,,124.923,,0.034,12.497,,,,,,MBA,1.97
20000308,"   308 Polyxo (A891 FA)",308,Polyxo,N,N,8.18,0.21,128.578,,0.047,12.031,0.783,0.379,,T,T,MBA,1.63
20000313,"   313 Chaldaea (A891 QB)",313,Chaldaea,N,N,9.20,,71.183,,0.044,8.392,0.715,0.342,,,C,MBA,0.976
20000318,"   318 Magdalena (A891 SA)",318,Magdalena,N,N,9.49,,85,,0.054,42.65,0.685,0.290,,,CXF,MBA,1.96
20000322,"   322 Phaeo (A891 WB)",322,Phaeo,N,N,9.18,,69.855,,0.089,17.5845,0.719,0.230,,X,X,MBA,1.12
20000324,"   324 Bamberga (A892 DA)",324,Bamberga,N,N,7.22,0.09,220.691,,0.050,29.43,0.695,0.309,,,CP,MBA,0.785
20000326,"   326 Tamara (A892 FD)",326,Tamara,N,N,9.39,,93.00,,0.0368,14.445,0.708,0.318,,,C,MBA,0.948
20000328,"   328 Gudrun (A892 FF)",328,Gudrun,N,N,9.02,,145.680,,0.025,10.992,,,,,S,MBA,1.84
20000329,"   329 Svea (A892 FG)",329,Svea,N,N,9.64,,81.057,,0.039,22.778,0.698,0.331,,,C,MBA,1.43
20000331,"   331 Etheridgea (A892 GA)",331,Etheridgea,N,N,9.95,,74.92,,0.0447,25.315,0.698,0.298,,C,CX,MBA,1.74
20000333,"   333 Badenia (A892 QA)",333,Badenia,N,N,9.60,,72.199,,0.047,9.862,0.773,0.401,,,C:,MBA,1.63
20000334,"   334 Chicago (A892 QB)",334,Chicago,N,N,7.63,,198.770,,0.041,7.361,0.736,0.358,,,C,OMB,2.83
20000335,"   335 Roberta (A892 RB)",335,Roberta,N,N,9.11,,97.109,,0.049,12.054,0.624,0.235,,B,FP,MBA,1.04
20000336,"   336 Lacadiera (A892 SA)",336,Lacadiera,N,N,9.96,,63.356,,0.054,13.6958,0.733,0.273,,Xk,D,MBA,1.03
20000344,"   344 Desiderata (A892 WA)",344,Desiderata,N,N,8.30,,124.181,,0.067,10.747,0.725,0.382,,,C,MBA,0.832
20000345,"   345 Tercidina (A892 WB)",345,Tercidina,N,N,9.07,0.10,90.243,,0.052,12.371,0.729,0.411,,Ch,C,MBA,1.21
20000348,"   348 May (A892 WE)",348,May,N,N,9.60,,82.82,,0.0448,7.3812,,,,X,,MBA,1.77
20000350,"   350 Ornamenta (A892 XC)",350,Ornamenta,N,N,8.47,,128.729,,0.048,9.178,0.702,0.360,,,C,MBA,1.64
